run_id,job_id,entity_key,window_id,model_name,model_family,forecast_date,horizon_day,forecast_value,created_timestamp
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-03,1,2428.601522,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-04,2,2430.2857839999997,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-05,3,2431.9700459999995,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-06,4,2433.654307999999,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-07,5,2435.338569999999,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-08,6,2437.0228319999987,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-09,7,2438.7070939999985,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-10,8,2440.3913559999983,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-11,9,2442.075617999998,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-12,10,2443.759879999998,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-13,11,2445.4441419999976,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-14,12,2447.1284039999973,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-15,13,2448.812665999997,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-16,14,2450.496927999997,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-17,15,2452.1811899999966,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-18,16,2453.8654519999964,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-19,17,2455.549713999996,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-20,18,2457.233975999996,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-21,19,2458.9182379999957,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-22,20,2460.6024999999954,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-23,21,2462.286761999995,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-24,22,2463.971023999995,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-25,23,2465.6552859999947,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-26,24,2467.3395479999945,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-27,25,2469.0238099999942,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-28,26,2470.708071999994,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-29,27,2472.3923339999938,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-30,28,2474.0765959999935,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-05-31,29,2475.7608579999933,2026-06-11T10:10:52
smoke_20260611_101052,job_000001,APC-Dedicated,1,ARIMA_Fixed,BaselineProduction,2025-06-01,30,2477.445119999993,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-03,1,2429.006645520248,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-04,2,2430.9708125148054,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-05,3,2432.934979509362,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-06,4,2434.899146503919,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-07,5,2436.863313498476,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-08,6,2438.827480493033,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-09,7,2440.79164748759,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-10,8,2442.755814482147,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-11,9,2444.7199814767037,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-12,10,2446.684148471261,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-13,11,2448.6483154658176,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-14,12,2450.6124824603744,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-15,13,2452.5766494549316,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-16,14,2454.5408164494884,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-17,15,2456.504983444045,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-18,16,2458.4691504386024,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-19,17,2460.433317433159,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-20,18,2462.397484427716,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-21,19,2464.361651422273,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-22,20,2466.32581841683,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-23,21,2468.2899854113866,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-24,22,2470.254152405944,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-25,23,2472.2183194005006,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-26,24,2474.182486395058,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-27,25,2476.1466533896146,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-28,26,2478.1108203841713,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-29,27,2480.0749873787286,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-30,28,2482.0391543732853,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-05-31,29,2484.003321367842,2026-06-11T10:10:52
smoke_20260611_101052,job_000004,APC-Dedicated,1,ETS_Current,BaselineProduction,2025-06-01,30,2485.9674883623993,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-03,1,2425.4113520656597,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-04,2,2427.2967863827903,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-05,3,2429.2884581034746,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-06,4,2431.3096578602663,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-07,5,2433.373841231546,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-08,6,2435.448160846024,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-09,7,2437.51838704299,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-10,8,2439.536948064479,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-11,9,2441.593917344235,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-12,10,2443.619683183978,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-13,11,2445.663050424922,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-14,12,2447.7269252690685,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-15,13,2449.785068456484,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-16,14,2451.827472364972,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-17,15,2453.8507447111565,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-18,16,2455.843083257947,2026-06-11T10:10:52
smoke_20260611_101052,job_000010,APC-Dedicated,1,LinearRegression,BaselineProduction,2025-05-19,17,2457.824013519408,2026-06-11T10:10:52
