run_id,model_name,risk_type,risk_level,evidence,impact_on_champion_decision,decision_treatment,created_timestamp
champion_decision,FastNeuralAR_MLP,severe_mase_or_rmsse_guardrail,high,official_median_mase=739.921888; official_median_rmsse=164.622417,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,FastNeuralAR_MLP,extremely_high_mase,high,official_median_mase=739.921888,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,FastNeuralAR_MLP,extremely_high_rmsse,high,official_median_rmsse=164.622417,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,NBEATS,partial_rows_excluded,medium,Audit #4 F-015: pre-recovery NBEATS partial rows existed only in inventory/checkpoints.,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,NHITS,dependency_deferral,medium,NHITS deferred_dependency_blocked due to Python 3.14 / neuralforecast / ray incompatibility.,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,AUDIT_4,audit_condition,advisory,F-001 | PASS | Model Set Re-scope | Final official challenger set contains exactly the 6 required models (AutoARIMA/Theta/ETS Explicit/LightGBM/XGBoost/FastNeuralAR_MLP). | current_official_challenger_set.csv lists 6 official rows; forecasts file independently shows the 6 final models only. | No action required. | No | 2026-06-13T18:00:00,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,AUDIT_4,audit_condition,advisory,F-002 | PASS | Model Set Re-scope | NBEATS is deferred_runtime_impractical and NHITS is deferred_dependency_blocked; deferral history is preserved not deleted. | model_set_rescope_decision.csv (defer_existing_model / maintain_existing_deferral); onboarding_addendum.csv and execution_planning_addendum.csv retain both models with reasons; deferred rows still present in current_official_challenger_set.csv. | No action required. | No | 2026-06-13T18:00:00,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,AUDIT_4,audit_condition,advisory,F-003 | PASS | Model Set Re-scope | FastNeuralAR_MLP is documented as the lightweight neural (NNETAR-style) replacement with explicit leakage and tuning policy suitable for MVP/container/Azure automation. | fast_neural_policy.md (sklearn MLPRegressor; train date<=train_end_date; recursive forecast; fixed seed 42; deps scikit-learn/numpy/pandas). | No action required. | No | 2026-06-13T18:00:00,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,AUDIT_4,audit_condition,advisory,F-004 | PASS | Forecast Integrity | Official forecasts have 81720 rows (6 x 13620); only the 6 final models appear; 0 NBEATS and 0 NHITS rows; execution_mode=official; horizon_day 1..30; no null/inf forecast_value; no duplicate keys; 39 entities x 454 entity-windows. | Independent pandas verification of challenger_official_forecasts.csv reproduced all counts; contract_validation.csv all pass. | No action required. | No | 2026-06-13T18:00:00,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
champion_decision,AUDIT_4,audit_condition,advisory,F-007 | PASS | Metrics Integrity | Official scoring metrics are computed on adjusted_forecast_value (non-negative) not raw forecast_value. | Independent MASE/RMSSE recomputation on 5 random entity-windows using adjusted_forecast_value matched stored values to full precision (e.g. FastNeuralAR_MLP DEU-Go Local w2 MASE 1207.6156 = stored). | No action required. | No | 2026-06-13T18:00:00,Blocks or limits champion eligibility when high risk applies to a scored model.,carried_forward_and_reviewed,2026-06-26T18:23:29
