series_key,series_label,date,actual_value,model_name,model_origin,model_family,forecast_value,forecast_type,horizon_days,forecast_start_date,run_id,source_artifact,is_baseline,is_challenger,is_deferred,is_selected_champion,risk_status,lower_bound,upper_bound,interval_level
APC-Dedicated,APC-Dedicated,2025-05-03,2427.007518,FixedGrowth_1_5,baseline,growth_baseline,2428.13071863,backtest,1,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-04,2427.007518,FixedGrowth_1_5,baseline,growth_baseline,2429.3441772600004,backtest,2,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-05,2427.007518,FixedGrowth_1_5,baseline,growth_baseline,2430.5576358900003,backtest,3,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-06,2428.8771770000003,FixedGrowth_1_5,baseline,growth_baseline,2431.77109452,backtest,4,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-07,2422.13321,FixedGrowth_1_5,baseline,growth_baseline,2432.98455315,backtest,5,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-08,2400.190447,FixedGrowth_1_5,baseline,growth_baseline,2434.1980117800003,backtest,6,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-09,2255.473239,FixedGrowth_1_5,baseline,growth_baseline,2435.41147041,backtest,7,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-10,2235.911894,FixedGrowth_1_5,baseline,growth_baseline,2436.62492904,backtest,8,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-11,2233.157972,FixedGrowth_1_5,baseline,growth_baseline,2437.83838767,backtest,9,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-12,2233.157972,FixedGrowth_1_5,baseline,growth_baseline,2439.0518463000003,backtest,10,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-13,2234.5702570000003,FixedGrowth_1_5,baseline,growth_baseline,2440.26530493,backtest,11,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-14,2235.965829,FixedGrowth_1_5,baseline,growth_baseline,2441.47876356,backtest,12,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-15,2238.141524,FixedGrowth_1_5,baseline,growth_baseline,2442.6922221900004,backtest,13,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-16,2240.079121,FixedGrowth_1_5,baseline,growth_baseline,2443.9056808200003,backtest,14,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-17,2240.643129,FixedGrowth_1_5,baseline,growth_baseline,2445.11913945,backtest,15,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-18,2240.828675,FixedGrowth_1_5,baseline,growth_baseline,2446.33259808,backtest,16,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-19,2242.609074,FixedGrowth_1_5,baseline,growth_baseline,2447.5460567100004,backtest,17,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-20,2244.5632920000003,FixedGrowth_1_5,baseline,growth_baseline,2448.75951534,backtest,18,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-21,2246.551058,FixedGrowth_1_5,baseline,growth_baseline,2449.97297397,backtest,19,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-22,2248.2515120000003,FixedGrowth_1_5,baseline,growth_baseline,2451.1864326,backtest,20,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-23,2250.541422,FixedGrowth_1_5,baseline,growth_baseline,2452.3998912300003,backtest,21,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-24,2251.014411,FixedGrowth_1_5,baseline,growth_baseline,2453.61334986,backtest,22,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-25,2251.348703,FixedGrowth_1_5,baseline,growth_baseline,2454.82680849,backtest,23,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-26,2251.348703,FixedGrowth_1_5,baseline,growth_baseline,2456.04026712,backtest,24,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-27,2239.516276,FixedGrowth_1_5,baseline,growth_baseline,2457.2537257500003,backtest,25,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-28,2201.490081,FixedGrowth_1_5,baseline,growth_baseline,2458.46718438,backtest,26,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-29,2196.6965520000003,FixedGrowth_1_5,baseline,growth_baseline,2459.68064301,backtest,27,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-30,2195.314518,FixedGrowth_1_5,baseline,growth_baseline,2460.8941016400004,backtest,28,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-05-31,2191.670809,FixedGrowth_1_5,baseline,growth_baseline,2462.10756027,backtest,29,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-06-01,2187.022625,FixedGrowth_1_5,baseline,growth_baseline,2463.3210189,backtest,30,2025-05-02,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-06-02,2184.020518,FixedGrowth_1_5,baseline,growth_baseline,2188.1161363125,backtest,1,2025-06-01,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
APC-Dedicated,APC-Dedicated,2025-06-03,2182.370942,FixedGrowth_1_5,baseline,growth_baseline,2189.209647625,backtest,2,2025-06-01,full_baseline_20260611_103953,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,True,False,False,False,ok,,,
